ID1,Find,Conven,Suited,Last_Purchase,gender,age,neighbourhood,Work,Browse,Satisfied,Payment,Recommend,Site_Visits,First_Qt,Second_Qt,Third_Qt,Fourth_Qt,Total_Spend,Profit_Percentage
1,Slightly likely,Quite convenient,Quite suited,Clothes,Female,24,Rural,Part-time,Once a week,Partially satisfied,Card,Yes,14,14,22,13,91,140,10
2,Slightly likely,Slightly convenient,Extremely suited,Household,Female,25,Urban,Full-time,Daily,Satisfied,Card,Yes,16,35,46,26,48,155,12
3,Quite unlikely,Quite convenient,Slightly suited,Food,Male,18,Rural,Part-time,Daily,Satisfied,Card,Yes,15,22,22,40,84,168,14
4,Slightly unlikely,Quite convenient,Slightly suited,Clothes,Male,22,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,12,28,26,19,36,109,20
5,Slightly likely,Extremely convenient,Extremely suited,Food,Male,24,Urban,Full-time,Daily,Satisfied,PayPal,Yes,11,59,59,38,69,225,11
6,Slightly unlikely,Slightly convenient,Slightly suited,Household,Male,36,Urban,Full-time,Once a week,Partially satisfied,Card,No,12,16,19,19,31,85,8
7,Extremely unlikely,Slightly convenient,Neither suited nor unsuited,Food,Female,22,Urban,Full-time,Daily,Satisfied,Card,Yes,20,28,31,28,24,111,16
8,Slightly unlikely,Quite convenient,Slightly suited,Household,Male,28,Urban,Full-time,Daily,Partially satisfied,Card,Yes,9,40,34,19,26,119,10
9,Slightly likely,Quite convenient,Quite suited,Clothes,Male,28,Urban,Full-time,Daily,Partially satisfied,PayPal,No,8,13,16,13,21,63,8
10,Slightly likely,Extremely convenient,Extremely suited,Food,Female,24,Suburban,Full-time,Daily,Satisfied,Card,Yes,17,38,59,59,18,174,13
11,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Garden,Male,25,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,18,15,12,14,54,95,5
12,Extremely unlikely,Slightly convenient,Quite suited,Food,Female,22,Suburban,Full-time,More than once a week,Partially satisfied,PayPal,Yes,15,20,26,25,43,114,6
13,Extremely unlikely,Quite convenient,Quite suited,Clothes,Female,21,Rural,Full-time,More than once a week,Partially satisfied,Card,No,10,12,22,12,102,148,10
14,Slightly unlikely,Quite convenient,Quite suited,Clothes,Male,20,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,12,18,26,14,56,114,11
15,Slightly likely,Slightly convenient,Extremely suited,Household,Female,35,Urban,Part-time,Once a year,Partially satisfied,Card,Yes,13,31,38,28,40,137,9
16,Extremely unlikely,Extremely convenient,Extremely suited,Food,Male,25,Urban,Full-time,Daily,Satisfied,Card,Yes,17,30,20,16,47,113,12
17,Extremely unlikely,Extremely convenient,Extremely suited,Food,Female,23,Urban,Full-time,Daily,Satisfied,PayPal,Yes,18,46,46,46,147,285,21
18,Extremely unlikely,Extremely convenient,Extremely suited,Clothes,Female,22,Rural,Full-time,Daily,Satisfied,Card,Yes,19,38,38,38,119,233,19
19,Extremely unlikely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Female,23,Suburban,Full-time,Daily,Satisfied,PayPal,Yes,14,26,26,26,27,105,10
20,Extremely unlikely,Slightly convenient,Slightly suited,Household,Female,24,Urban,Full-time,Daily,Partially satisfied,Card,Yes,16,22,22,22,42,108,9
21,Extremely unlikely,Quite convenient,Extremely suited,Food,Female,25,Urban,Full-time,Daily,Satisfied,Card,Yes,21,34,52,34,84,204,18
22,Extremely unlikely,Neither convenient nor inconvenient,Neither suited nor unsuited,Food,Male,26,Rural,Full-time,Daily,Satisfied,Card,Yes,15,25,26,26,66,143,12
23,Neither likely nor unlikely,Quite convenient,Neither suited nor unsuited,Household,Male,22,Suburban,Full-time,Daily,Partially satisfied,Card,Yes,13,26,22,19,84,151,14
24,Quite unlikely,Extremely convenient,Neither suited nor unsuited,Household,Female,23,Rural,Full-time,Daily,Satisfied,Card,Yes,15,18,22,16,15,71,9
25,Extremely unlikely,Quite convenient,Slightly suited,Clothes,Female,24,Urban,Full-time,More than once a week,Partially satisfied,Card,Yes,8,14,31,13,27,85,10
26,Extremely likely,Quite convenient,Neither suited nor unsuited,Household,Male,25,Urban,Full-time,Once a week,Partially satisfied,Card,No,13,31,38,16,49,134,9
27,Extremely unlikely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Female,32,Urban,Full-time,Daily,Satisfied,Card,Yes,16,22,26,26,42,116,5
28,Quite unlikely,Quite convenient,Neither suited nor unsuited,Clothes,Female,24,Rural,Full-time,Daily,Satisfied,Card,Yes,10,14,52,11,10,87,6
29,Extremely unlikely,Quite convenient,Quite suited,Food,Male,31,Urban,Full-time,Daily,Satisfied,Card,Yes,13,45,59,40,32,176,12
30,Extremely unlikely,Neither convenient nor inconvenient,Neither suited nor unsuited,Garden,Female,30,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,11,45,59,34,33,171,11
31,Quite unlikely,Quite convenient,Extremely suited,Clothes,Male,35,Suburban,Full-time,Daily,Partially satisfied,Card,No,22,40,52,34,71,197,10
32,Slightly likely,Extremely convenient,Quite suited,Household,Female,37,Urban,Full-time,Daily,Partially satisfied,Card,No,9,14,38,14,68,134,10
33,Quite likely,Quite convenient,Slightly suited,Clothes,Female,35,Urban,Full-time,Once a week,Partially satisfied,Card,Yes,9,12,52,13,14,91,9
34,Neither likely nor unlikely,Quite convenient,Quite suited,Clothes,Female,25,Suburban,Part-time,More than once a week,Partially satisfied,Card,Yes,13,16,22,16,31,85,5
35,Slightly likely,Extremely convenient,Extremely suited,Household,Male,25,Suburban,Part-time,More than once a week,Partially satisfied,Card,Yes,15,26,28,19,54,127,14
36,Slightly likely,Extremely convenient,Slightly suited,Garden,Female,27,Urban,Full-time,Daily,Satisfied,PayPal,Yes,14,13,59,13,24,109,12
37,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Female,42,Suburban,Full-time,Daily,Satisfied,Card,Yes,15,40,19,19,48,126,10
38,Slightly unlikely,Quite convenient,Slightly suited,Clothes,Female,30,Suburban,Full-time,Once a week,Partially satisfied,Card,Yes,10,16,22,19,51,108,9
39,Quite likely,Extremely convenient,Quite suited,Clothes,Female,24,Suburban,Full-time,Once a week,Partially satisfied,Card,No,10,16,12,14,34,76,10
40,Quite likely,Extremely convenient,Quite suited,Clothes,Female,28,Rural,Full-time,Once a week,Partially satisfied,PayPal,Yes,10,14,14,12,14,54,6
41,Slightly unlikely,Slightly convenient,Neither suited nor unsuited,Garden,Male,23,Rural,Full-time,More than once a week,Partially satisfied,PayPal,Yes,15,35,40,12,56,143,12
42,Extremely unlikely,Quite convenient,Extremely suited,Food,Male,25,Urban,Full-time,Daily,Satisfied,Card,Yes,15,30,59,35,24,148,11
43,Slightly likely,Extremely convenient,Extremely suited,Household,Female,30,Urban,Part-time,Once a week,Partially satisfied,Card,Yes,9,14,26,11,12,63,9
44,Slightly unlikely,Extremely convenient,Extremely suited,Garden,Male,52,Suburban,Full-time,Once a month,Partially satisfied,Card,Yes,9,9,26,11,15,61,9
45,Slightly likely,Neither convenient nor inconvenient,Extremely suited,Clothes,Male,43,Urban,Full-time,Daily,Satisfied,Card,Yes,15,14,16,14,40,84,5
46,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Male,35,Urban,Full-time,Daily,Satisfied,Card,Yes,16,26,22,22,22,92,14
47,Slightly likely,Slightly convenient,Extremely suited,Food,Male,37,Rural,Full-time,More than once a week,Partially satisfied,PayPal,Yes,17,38,59,45,32,174,10
